doc_id,item,category,amount,price,discount
DOC-20250906-4-1-5HHQRG,Полотенце кухонное,Текстиль,1,2.92,0.52
DOC-20250906-4-1-5HHQRG,Пакеты для мусора,Хозтовары,4,1.64,0.0
DOC-20250906-4-1-5HHQRG,Набор ножей,Посуда,2,36.39,0.0
DOC-20250906-4-1-5HHQRG,Пакеты для мусора,Хозтовары,4,1.79,0.0
DOC-20250906-4-1-IMT854,Перчатки резиновые,Хозтовары,4,2.46,0.0
DOC-20250906-4-1-IMT854,Набор ножей,Посуда,1,31.83,0.0
DOC-20250906-4-1-IMT854,Полотенце кухонное,Текстиль,4,4.94,0.0
DOC-20250906-4-1-XEQLEZ,Кастрюля 3л,Посуда,4,26.8,0.0
DOC-20250906-4-1-XEQLEZ,Перчатки резиновые,Хозтовары,3,1.7,0.0
DOC-20250906-4-1-H4OULY,Сковорода 24см,Посуда,4,30.61,0.0
DOC-20250906-4-1-H4OULY,Стиральный порошок,Бытовая химия,2,4.88,0.0
DOC-20250906-4-1-H4OULY,Стиральный порошок,Бытовая химия,4,5.16,0.0
DOC-20250906-4-1-H4OULY,Кондиционер для белья,Бытовая химия,1,5.45,0.77
DOC-20250906-4-1-LVA02D,Скатерть,Текстиль,5,16.74,0.0
DOC-20250906-4-1-LVA02D,Стиральный порошок,Бытовая химия,3,6.63,0.0
DOC-20250906-4-1-LVA02D,Кондиционер для белья,Бытовая химия,4,7.11,2.4
DOC-20250906-4-1-26LH07,Стиральный порошок,Бытовая химия,5,8.29,0.0
DOC-20250906-4-1-ORFKI1,Стиральный порошок,Бытовая химия,1,4.91,0.52
DOC-20250906-4-1-ORFKI1,Сковорода 24см,Посуда,3,15.02,2.77
DOC-20250906-4-1-SZ0A0T,Гель для стирки,Бытовая химия,4,9.89,0.0
DOC-20250906-4-1-SZ0A0T,Губки для посуды,Хозтовары,3,2.69,0.0
DOC-20250906-4-1-0KQD8U,Полотенце кухонное,Текстиль,2,5.01,1.34
DOC-20250906-4-1-0KQD8U,Кастрюля 3л,Посуда,5,15.69,0.0
DOC-20250906-4-1-0KQD8U,Сковорода 24см,Посуда,4,12.4,0.0
DOC-20250906-4-1-0KQD8U,Скатерть,Текстиль,1,16.68,0.0
DOC-20250906-4-1-UA1QRD,Скатерть,Текстиль,1,8.01,0.0
DOC-20250906-4-1-UA1QRD,Кондиционер для белья,Бытовая химия,4,3.64,0.0
DOC-20250906-4-1-UA1QRD,Гель для стирки,Бытовая химия,5,5.13,3.3
DOC-20250906-4-1-41CRO0,Стиральный порошок,Бытовая химия,5,5.25,0.0
DOC-20250906-4-1-41CRO0,Стиральный порошок,Бытовая химия,2,4.88,1.65
DOC-20250906-4-1-TLXLZS,Гель для стирки,Бытовая химия,1,7.41,0.0
DOC-20250906-4-1-1F0FP8,Сковорода 24см,Посуда,5,23.39,0.0
DOC-20250906-4-1-0TOKPK,Набор ножей,Посуда,3,26.28,0.0
DOC-20250906-4-1-0TOKPK,Кондиционер для белья,Бытовая химия,5,3.28,0.0
DOC-20250906-4-1-0TOKPK,Губки для посуды,Хозтовары,3,2.89,0.0
DOC-20250906-4-1-JQ77Z4,Кондиционер для белья,Бытовая химия,4,5.38,0.0
DOC-20250906-4-1-JQ77Z4,Сковорода 24см,Посуда,4,16.12,0.0
DOC-20250906-4-1-9LGYTL,Губки для посуды,Хозтовары,2,1.83,0.0
DOC-20250906-4-1-W5MAGK,Губки для посуды,Хозтовары,3,2.4,0.0
DOC-20250906-4-1-W5MAGK,Сковорода 24см,Посуда,5,33.49,0.0
DOC-20250906-4-1-W5MAGK,Перчатки резиновые,Хозтовары,5,1.61,0.0
DOC-20250906-4-1-W5MAGK,Пакеты для мусора,Хозтовары,2,1.65,0.0
DOC-20250906-4-1-D2V1L1,Губки для посуды,Хозтовары,5,1.41,0.0
DOC-20250906-4-1-D2V1L1,Кастрюля 3л,Посуда,1,14.19,2.81
DOC-20250906-4-1-D2V1L1,Гель для стирки,Бытовая химия,5,11.44,0.0
DOC-20250906-4-1-D2V1L1,Кондиционер для белья,Бытовая химия,1,5.12,0.0
DOC-20250906-4-1-D2V1L1,Стиральный порошок,Бытовая химия,4,3.96,0.0
DOC-20250906-4-1-QK1IO1,Скатерть,Текстиль,5,10.36,0.0
DOC-20250906-4-1-QK1IO1,Гель для стирки,Бытовая химия,2,11.07,4.25
DOC-20250906-4-1-QK1IO1,Полотенце кухонное,Текстиль,4,6.98,0.0
DOC-20250906-4-1-QK1IO1,Кастрюля 3л,Посуда,3,23.9,0.0
DOC-20250906-4-1-UPMANQ,Пакеты для мусора,Хозтовары,5,2.27,0.0
DOC-20250906-4-1-UPMANQ,Салфетки,Текстиль,2,2.53,1.01
DOC-20250906-4-1-UPMANQ,Салфетки,Текстиль,5,2.77,0.0
DOC-20250906-4-1-VL66SA,Стиральный порошок,Бытовая химия,4,7.53,0.0
DOC-20250906-4-1-VL66SA,Пакеты для мусора,Хозтовары,3,3.11,0.0
