doc_id,item,category,amount,price,discount
DOC-20250906-3-2-9X798Y,Губки для посуды,Хозтовары,2,1.79,0.0
DOC-20250906-3-2-5SIC4S,Сковорода 24см,Посуда,2,23.4,0.0
DOC-20250906-3-2-E6IT1E,Кастрюля 3л,Посуда,2,15.87,0.0
DOC-20250906-3-2-E6IT1E,Перчатки резиновые,Хозтовары,2,2.71,1.03
DOC-20250906-3-2-E6IT1E,Перчатки резиновые,Хозтовары,1,2.55,0.47
DOC-20250906-3-2-4CAQKD,Пакеты для мусора,Хозтовары,3,1.56,0.0
DOC-20250906-3-2-4CAQKD,Сковорода 24см,Посуда,1,23.32,0.0
DOC-20250906-3-2-4CAQKD,Кондиционер для белья,Бытовая химия,4,4.76,0.0
DOC-20250906-3-2-1JQNN6,Полотенце кухонное,Текстиль,4,2.76,0.0
DOC-20250906-3-2-1JQNN6,Кастрюля 3л,Посуда,3,13.24,0.0
DOC-20250906-3-2-1JQNN6,Стиральный порошок,Бытовая химия,2,5.51,0.0
DOC-20250906-3-2-1JQNN6,Полотенце кухонное,Текстиль,4,2.28,0.0
DOC-20250906-3-2-1JQNN6,Скатерть,Текстиль,2,18.61,0.0
DOC-20250906-3-2-889ERR,Скатерть,Текстиль,4,16.52,0.0
DOC-20250906-3-2-889ERR,Пакеты для мусора,Хозтовары,4,3.53,0.0
DOC-20250906-3-2-82EMAY,Перчатки резиновые,Хозтовары,4,3.49,2.24
DOC-20250906-3-2-PKR1IF,Кондиционер для белья,Бытовая химия,1,3.87,0.77
DOC-20250906-3-2-PKR1IF,Салфетки,Текстиль,4,3.67,0.0
DOC-20250906-3-2-PKR1IF,Пакеты для мусора,Хозтовары,1,3.35,0.0
DOC-20250906-3-2-PKR1IF,Набор ножей,Посуда,2,36.39,10.09
DOC-20250906-3-2-PKR1IF,Перчатки резиновые,Хозтовары,1,1.45,0.0
DOC-20250906-3-2-B97PWD,Сковорода 24см,Посуда,3,21.37,0.0
DOC-20250906-3-2-9HPCPB,Полотенце кухонное,Текстиль,3,4.55,0.0
DOC-20250906-3-2-I6GAXL,Кастрюля 3л,Посуда,5,15.6,0.0
DOC-20250906-3-2-I6GAXL,Кондиционер для белья,Бытовая химия,4,3.89,0.0
