doc_id,item,category,amount,price,discount
DOC-20250906-4-2-TE9W0A,Салфетки,Текстиль,4,4.62,0.0
DOC-20250906-4-2-TE9W0A,Пакеты для мусора,Хозтовары,4,3.02,0.0
DOC-20250906-4-2-TE9W0A,Набор ножей,Посуда,4,44.88,0.0
DOC-20250906-4-2-TE9W0A,Скатерть,Текстиль,3,7.85,0.0
DOC-20250906-4-2-TRJ67D,Набор ножей,Посуда,1,46.35,7.92
DOC-20250906-4-2-TRJ67D,Гель для стирки,Бытовая химия,2,5.94,0.0
DOC-20250906-4-2-TRJ67D,Кондиционер для белья,Бытовая химия,2,5.65,2.03
DOC-20250906-4-2-AA35WF,Перчатки резиновые,Хозтовары,1,3.62,0.0
DOC-20250906-4-2-AA35WF,Стиральный порошок,Бытовая химия,2,7.93,3.0
DOC-20250906-4-2-AA35WF,Кондиционер для белья,Бытовая химия,1,3.0,0.0
DOC-20250906-4-2-AA35WF,Перчатки резиновые,Хозтовары,1,1.7,0.0
DOC-20250906-4-2-NWG3ZR,Кастрюля 3л,Посуда,5,15.76,4.66
DOC-20250906-4-2-NWG3ZR,Кондиционер для белья,Бытовая химия,1,5.29,0.0
DOC-20250906-4-2-HFT9ZZ,Салфетки,Текстиль,3,1.75,0.44
DOC-20250906-4-2-O4KOXH,Скатерть,Текстиль,5,16.3,0.0
DOC-20250906-4-2-O4KOXH,Перчатки резиновые,Хозтовары,2,1.76,0.0
DOC-20250906-4-2-O4KOXH,Гель для стирки,Бытовая химия,1,7.95,0.0
DOC-20250906-4-2-3C1ZA0,Скатерть,Текстиль,3,14.23,0.0
DOC-20250906-4-2-V8U0LM,Скатерть,Текстиль,4,13.0,0.0
DOC-20250906-4-2-V8U0LM,Пакеты для мусора,Хозтовары,5,1.57,0.0
DOC-20250906-4-2-V8U0LM,Пакеты для мусора,Хозтовары,4,2.06,0.81
DOC-20250906-4-2-V8U0LM,Сковорода 24см,Посуда,4,22.66,0.0
DOC-20250906-4-2-F1PAFL,Сковорода 24см,Посуда,4,20.41,12.19
DOC-20250906-4-2-F1PAFL,Кондиционер для белья,Бытовая химия,2,3.33,0.0
DOC-20250906-4-2-ARJHRF,Полотенце кухонное,Текстиль,4,3.59,0.0
DOC-20250906-4-2-ARJHRF,Кастрюля 3л,Посуда,2,18.66,0.0
DOC-20250906-4-2-ARJHRF,Перчатки резиновые,Хозтовары,1,1.18,0.0
DOC-20250906-4-2-ARJHRF,Скатерть,Текстиль,5,15.88,0.0
DOC-20250906-4-2-ARJHRF,Салфетки,Текстиль,4,3.08,1.39
DOC-20250906-4-2-ALFWYP,Губки для посуды,Хозтовары,3,1.08,0.0
DOC-20250906-4-2-NYEURA,Сковорода 24см,Посуда,3,17.66,0.0
DOC-20250906-4-2-NYEURA,Скатерть,Текстиль,4,14.87,7.93
DOC-20250906-4-2-NYEURA,Губки для посуды,Хозтовары,2,2.55,0.99
DOC-20250906-4-2-2U6ZV3,Кастрюля 3л,Посуда,1,21.27,0.0
DOC-20250906-4-2-2U6ZV3,Гель для стирки,Бытовая химия,2,7.07,0.0
